시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
합천박물관,국립,경상남도 합천군 쌍책면 황강옥전로 1558,경상남도 합천군 쌍책면 성산리 504,35.5800105,128.2820898,055-930-4882,합천박물관,http://mus.hc.go.kr/main/,주차시설+산책로+야외조각전시+인공폭포+분수대,09:00,18:00,09:00,18:00,"매주 월요일(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관), 1월1일, 설날, 추석",0,0,0,0,"합천박물관은 2004년 12월 9일에 개관하여, 합천 지역의 전통문화와 역사에 대한 올바른 지식을 제공하고자 설립하였다.",버스: 합천-초계(성태.초계)(합천터미널)에서 쌍책정류장 하차,055-930-3171,합천군 문화체육과,2018-02-23,5480000,경상남도 합천군,
합천한의학박물관,사립,경상남도 합천군 용주면 고품길 42,경상남도 합천군 용주면 고품리 284,35.537551,128.101642,055-934-0601,합천한의학박물관,,주차시설,09:00,18:00,09:00,18:00,"매주 월요일(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관), 1월1일, 설날, 추석",2000,1000,800,0,4000여점에 이르는 박물관 소장품은 치유의 역사를 생생히 보존하고 있으며 이를 통해 지역민들은 물론 국내외적으로 전통 한의학의 가치를 더욱 빛내고자 한다.,버스: 합천-거창(평학.대병)(합천터미널)에서 고품삼거리정류장 하차,055-930-9174,합천군 문화체육과,2018-02-23,5480000,경상남도 합천군,
해인사성보박물관,사립,경상남도 합천군 가야면 가야산로 1742-17,경상남도 합천군 가야면 치인리 산21-1,35.796694,128.076062,055-934-3150,해인사성보박물관,www.haeinsamuseum.com,주차시설,09:30,17:30,09:30,17:30,매주 월요일,2000,1000,1000,0,"해인사에 있는 사찰박물관이다.소장유물은 국가지정8점, 시도지정4점 비지정389점이 있다.",버스: 합천시외버스터미널에서 해인사행 시외버스 탑승 후 해인사 앞에서 하차,055-930-9174,합천군 문화체육과,2018-02-23,5480000,경상남도 합천군,
신풍미술관,사립,경상북도 예천군 지보면 신풍1리길 50,경상북도 예천군 지보면 신풍리 114-2,36.53994783,128.4367743,054-653-9329,신풍미술관,http://www.sinpungartm.org/,"주차장, 화장실 등",10:00,17:00,10:00,17:00,"매주 월요일, 1월1일, 추석, 설날",2000,1000,1000,,신풍미술관은 2010년 7월 10일 개관,버스: 신풍1리 버스정류장(약250m),054-650-6902,경상북도 예천군청,2018-02-26,5230000,경상북도 예천군,
예천박물관,공립,경상북도 예천군 감천면 복골길 150,경상북도 예천군 감천면 포리 688,36.69977483,128.514395,054-650-8311,경상북도 예천군청,http://museum.ycg.kr/,"주차장, 화장실 등",09:00,18:00,09:00,18:00,"매주 월요일, 1월1일, 추석, 설날",0,0,0,,예천박물관은 2015년12월29일 등록,버스:감천 덕율삼거리(약1.43km),054-650-6395,경상북도 예천군청,2018-02-26,5230000,경상북도 예천군,
신풍미술관,사립,경상북도 예천군 지보면 신풍1리길 50,경상북도 예천군 지보면 신풍리 114-2,36.53994783,128.4367743,054-653-9329,신풍미술관,http://www.sinpungartm.org/,"주차장, 화장실 등",10:00,17:00,10:00,17:00,"매주 월요일, 1월1일, 추석, 설날",2000,1000,1000,,신풍미술관은 2010년 7월 10일 개관,버스: 신풍1리 버스정류장(약250m),054-650-6902,경상북도 예천군청,2018-02-26,5230000,경상북도 예천군,
예천박물관,공립,경상북도 예천군 감천면 복골길 150,경상북도 예천군 감천면 포리 688,36.69977483,128.514395,054-650-8311,경상북도 예천군청,http://museum.ycg.kr/,"주차장, 화장실 등",09:00,18:00,09:00,18:00,"매주 월요일, 1월1일, 추석, 설날",0,0,0,,예천박물관은 2015년12월29일 등록,버스:감천 덕율삼거리(약1.43km),054-650-6395,경상북도 예천군청,2018-02-26,5230000,경상북도 예천군,
인천개항박물관,공립,인천광역시 중구 신포로 23번길 89,,37.4732355,126.6182431,032-760-7508,인천광역시중구시설관리공단,http://www.icjgss.or.kr/open_port/,,09:00,18:00,09:00,18:00,매주 월요일,500,300,200,통합관람권 10~35퍼센트할인,,,032-760-7508,인천광역시중구시설관리공단,2018-08-13,3490000,인천광역시 중구,
짜장면박물관,공립,인천광역시 중구 차이나타운로 56-14,,37.4748195,126.6160083,032-773-9812,인천광역시중구시설관리공단,http://www.icjgss.or.kr/jajangmyeon/,,09:00,18:00,09:00,18:00,매주 월요일,500,300,200,통합관람권 10~35퍼센트할인,,,032-773-9812,인천광역시중구시설관리공단,2018-08-13,3490000,인천광역시 중구,
영종역사관,공립,인천광역시 중구 구읍로 63 (중산동),,37.489195,126.576549,032-760-6300,인천광역시 중구청,,,10:00,18:00,10:00,18:00,매주 월요일 + 설날 연휴 + 추석 연휴 + 1월 1일,1000,700,500,단체(20인 이상) 10~35퍼센트할인,,,032-760-6300,인천광역시 중구청,2018-08-13,3490000,인천광역시 중구,
중구생활사전시관,공립,인천광역시 중구 신포로 23번길 101,,37.472437,126.6222392,032-766-2202,인천광역시중구시설관리공단,,,09:00,18:00,09:00,18:00,매주 월요일,1000,700,500,통합관람권 10~35퍼센트할인,,,032-766-2202,인천광역시중구시설관리공단,2018-08-13,3490000,인천광역시 중구,
인천개항장 근대건축전시관,공립,인천광역시 중구 신포로 23번길 77,,37.4728595,126.6211542,032-760-7549,인천광역시중구시설관리공단,http://www.icjgss.or.kr/architecture,,09:00,18:00,09:00,18:00,매주 월요일,500,300,200,통합관람권 10~35퍼센트할인,,,032-760-7549,인천광역시중구시설관리공단,2018-08-13,3490000,인천광역시 중구,
한중문화관,공립,인천광역시 중구 제물량로 238,,37.4735399,126.6187688,032-760-7860,인천광역시중구시설관리공단,http://www.hanjung.go.kr/,,09:00,18:00,09:00,18:00,매주 월요일,1000,700,500,통합관람권 10~35퍼센트할인,,,032-760-7860,인천광역시중구시설관리공단,2018-08-13,3490000,인천광역시 중구,
성남아트센터 큐브미술관,공립,경기도 성남시 분당구 성남대로 808(야탑동 757),경기도 성남시 분당구 야탑동 757,37.402839,127.130404,031-783-8000,성남문화재단,www.snab.or.kr,,10:00,18:00,09:00,18:00,매주 월요일,0,0,0,기획전시 별도 부과,,,031-783-8000,성남문화재단,2018-04-30,3780000,경기도 성남시,
현대어린이책미술관 MOKA,사립,경기도 성남시 분당구 판교역로 146번길 20,경기도 성남시 분당구 백현동 541,37.392562,127.111996,031-5170-3700,현대백화점,www.hmoka.org,,09:00,18:00,10:00,19:00,"매주 월요일, 1월 1일, 설날 및 추석 당일과 다음날",0,0,0,,,,031-5170-3700,현대백화점,2018-04-30,3780000,경기도 성남시,
미누현대미술관,사립,경기도 성남시 수정구 공원로 360 두산상가빌딩 3층,경기도 성남시 수정구 신흥동 2024,37.446160,127.149446,031-754-9696,미누현대미술관,www.minooart.com,,09:00,18:00,09:00,18:00,"매주 월요일 추석, 설날 당일",8000,15000,15000,"장애인 단체 관람시 50 할인, 65세 이상, 장애인은 개인 관람시 무료",,,031-754-9696,미누현대미술관,2018-04-30,3780000,경기도 성남시,
신구대학교식물원 갤러리 우촌,사립,경기도 성남시 수정구 적푸리로 9(상적동),경기도 성남시 중원구 상적동 산123-1,37.433957,127.081509,031-724-1625,신구대학교,https://www.sbg.or.kr,,09:00,18:00,09:00,18:00,매주 월요일,7000,5000,5000,"장애인 1급~3급, 신구대교직원및재학생, 적푸리로 9번길 거주자",,,031-724-1625,신구대학교,2018-04-30,3780000,경기도 성남시,
판교박물관,공립,경기도 성남시 분당구 판교로 191 판교역사공원,경기도 성남시 분당구 판교동 499,37.400791,127.095656,031-729-4535,성남시,www.pangyomuseum.go.kr,자전거보관대,09:00,18:00,09:00,18:00,"매주 월요일 (단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관), 1월1일, 추석 설 연휴, 국경일, 경축일",0,0,0,,판교택지개발시 출토된 삼국시대 굴식돌방무덤의 보존 및 전시,"버스 71,73,75,330,350,380,400,9005,9007,1007,5000",031-729-4535,성남시,2018-04-30,3780000,경기도 성남시,
신구대학 우촌박물관,사립,경기도 성남시 중원구 광명로 377,경기도 성남시 중원구 금광2동 2685,37.448846,127.167645,031-740-1258,신구대학교,museum.shingu.ac.kr,,10:00,17:00,00:00,00:00,주말 및 공휴일,0,0,0,,,"버스 250, 220, 2-1, 51, 33-1, 300, 720, 720-1, 77-1, 116-3, 17, 17-1,119, 9408,3330,4000,9607,7200 지하철 분당선 이매역 1번 출구",031-740-1258,신구대학교,2018-04-30,3780000,경기도 성남시,
기당미술관,공립,제주특별자치도 서귀포시 남성중로 153번길 15,,33.2446568,126.5517975,064-733-1586,기당미술관,http://culture.seogwipo.go.kr/gidang/,,09:00,18:00,09:00,18:00,매주 월요일. 설날. 추석. 1월1일,1000,500,300,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
신영영화박물관 무비스타,사립,제주특별자치도 서귀포시 남원읍 태위로 536,,33.2746312,126.7058491,064-805-0008,신영영화박물관무비스타,http://blog.naver.com/shmoviestar,,10:00,18:00,10:00,18:00,매월 3째주 월요일,9000,8000,0,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
초콜릿 박물관,사립,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144 대정농공단기 내,,33.2576761,126.2287876,064-792-3121,초콜릿 박물관,http://www.chocolatemuseum.org/,,10:30,18:00,10:30,18:00,연중무휴,6000,0,4000,,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주추사관,공립,제주특별자치도 서귀포시 대정읍 추사로 44,,33.249837,126.2786308,064-710-6803,제주추사관,http://www.jeju.go.kr/chusa/index.htm,,09:00,18:00,09:00,18:00,매주 월요일. 설날. 추석. 1월1일,0,0,0,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
조안베어뮤지엄,사립,제주특별자치도 서귀포시 대포로 113,,33.2402854,126.4342037,064-739-1024,조안베어뮤지엄,http://www.joannestudio.co.kr/,,09:00,18:00,09:00,18:00,연중무휴,5000,4000,3000,도민할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
소암기념관,공립,제주특별자치도 서귀포시 물동산길 22,제주특별자치도 서귀포시 서귀동 157-2,33.245175,126.567688,064-760-3511,소암기념관,http://culture.seogwipo.go.kr/soam/,,09:00,18:00,09:00,18:00,매주 월요일. 설날. 추석. 1월1일,0,0,0,,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
유인미술관,사립,제주특별자치도 서귀포시 성산읍 고성리 21,,33.4291727,126.9300971,064-731-7791,휘닉스중앙제주,http://www.yuminart.org/,,09:00,18:00,09:00,18:00,매주 화요일,12000,9000,9000,도민할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
김영갑갤러리 (두모악),사립,제주특별자치도 서귀포시 성산읍 삼달로 137,,33.3720645,126.8541795,064-784-9905,두모악,http://www.dumoak.com/,,09:30,18:00,09:30,18:00,매주 수요일. 설날. 추석. 1월1일,4500,3000,1500,도민할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주커피박물관 바움,사립,제주특별자치도 서귀포시 성산읍 서성일로 1168번길 89-17,,33.4398006,126.8991174,064-784-2255,바움,http://jejubaum.com/,,09:00,18:00,09:00,18:00,연중무휴,0,0,0,,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
세계오지민속박물관 (베니스랜드),사립,제주특별자치도 서귀포시 성산읍 서성일로 474,,33.414387,126.840654324,064-784-6565,베니스랜드,http://theveniceland.com/,,09:00,18:00,09:00,18:00,연중무휴,12000,10000,8000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주해양과학관 (아쿠아플라넷),사립,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15,,33.4345727,126.9263432,064-780-0900,한화,http://www.aquaplanet.co.kr/jeju/index.jsp,,10:00,19:00,10:00,19:00,연중무휴,40900,39200,37200,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주항공우주박물관,사립,제주특별자치도 서귀포시 안덕면 녹차분재로 218,,33.304846,126.2997200,064-800-2009,JDC,https://www.jdc-jam.com/index.jam,,09:00,18:00,09:00,18:00,매월 셋째주 월요일,10000,9000,8000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
본태박물관,사립,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,,33.3037917,126.3923999,064-792-8108,본태박물관,http://www.bontemuseum.com/,,10:00,18:00,10:00,18:00,연중무휴,20000,14000,12000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
설록차전시관,사립,제주특별자치도 서귀포시 안덕면 신화역사로 15,,33.3063942,126.2905203,064-794-5312,아모레퍼시픽,http://www.osulloc.com/kr/ko/museum,,09:00,19:00,09:00,19:00,연중무휴,0,0,0,,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주건강과 성 박물관,사립,제주특별자치도 서귀포시 안덕면 일주서로 1611,,33.2546582,126.3467011,064-792-5700,(주)에스메카,http://www.sexmuseum.or.kr/,,09:00,20:00,09:00,20:00,연중무휴,12000,0,0,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
포레스트판타지아,사립,제주특별자치도 서귀포시 안덕면 일주서로 1836,,33.256807,126.321633,064-794-9680,제주조각공원,http://forestfantasia.com/,,09:00,23:59,09:00,23:59,연중무휴,15000,13000,10000,전일권. 주간권 별도,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
세계자동차 제주박물관,사립,제주특별자치도 서귀포시 안덕면 중산간서로 1610,,33.2831948,126.349772,064-792-3000,세계자동차 제주박물관,http://www.koreaautomuseum.com/,,09:00,18:00,09:00,18:00,연중무휴,11000,10000,10000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
헬로키티아일랜드,사립,제주특별자치도 서귀포시 안덕면 한창로 340,,33.2902193,126.3498521,064-792-6114,㈜제이콥 씨앤이,http://www.hellokittyisland.co.kr/index.asp,,09:00,18:00,09:00,18:00,연중무휴,14000,13000,11000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
SOS박물관,사립,제주특별자치도 서귀포시 월드컵로 31,,33.2472388,126.5092079,064-738-1448,(주)피오디코리아,http://seriworld.co.kr/index.php?mid=KR03,,09:00,18:00,09:00,18:00,연중무휴,12000,10000,8000,,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
닥종이인형박물관,사립,제주특별자치도 서귀포시 월드컵로 33,,33.2472388,126.5092079,064-739-3906,닥종이인형박물관,http://cafe.naver.com/dakpaper,,09:00,19:00,09:00,19:00,연중무휴,5000,4000,3000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
아프리카 박물관,사립,제주특별자치도 서귀포시 이어도로 49,,33.2398402,126.4291443,064-738-6565,아프리카박물관,http://africamuseum.alltheway.kr/,,09:00,19:00,09:00,19:00,연중무휴,10000,9000,8000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
이중섭미술관,공립,제주특별자치도 서귀포시 이중섭로 27-3,,33.2459155,126.5649489,064-760-3567,이중섭미술관,http://culture.seogwipo.go.kr/jslee/,,09:00,18:00,09:00,18:00,매주 월요일. 설날. 추석. 1월1일,1500,800,400,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
박물관은살아있다,사립,제주특별자치도 서귀포시 중문관광로 42,,33.2549224,126.4087187,064-805-0888,크리에이티브통,http://www.alivemuseum.com/branch/jeju,,09:00,21:30,09:00,21:30,연중무휴,12000,11000,10000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
곰완구전시관 (테디베어뮤지엄),사립,제주특별자치도 서귀포시 중문관광로110번길 31 중문관광단지내,,33.2486522,126.4124374,064-738-7600,테디베어뮤지엄,http://www.teddybearmuseum.com/museums/jeju/,,09:00,19:00,09:00,19:00,연중무휴,10000,9000,8000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주유리박물관,사립,제주특별자치도 서귀포시 중산간서로 1403,,33.278578,126.3702742,064-792-6262,제주유리박물관,http://www.glassmuseum.co.kr/main.php,,10:00,21:00,10:00,21:00,연중무휴,9000,8000,7000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
왈종미술관,사립,제주특별자치도 서귀포시 칠십리로214번길 30,,33.2452223,126.5738961,064-763-3600,재단법인 왈종후연미술문화재단,http://walartmuseum.or.kr/,,10:00,18:00,10:00,18:00,1월1일,5000,3000,3000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
세계조가비박물관,사립,제주특별자치도 서귀포시 태평로 284,,33.2474572,126.551644,064-762-5551,세계조가비박물관,http://www.wsmuseum.co.kr/,,08:30,19:00,08:30,19:00,연중무휴,6000,5000,4000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
자연사랑 미술관,사립,제주특별자치도 서귀포시 표선면 가시로613번길 46,,33.3554682,126.7714844,064-787-3110,자연사랑,http://hallaphoto.com/default/,,10:00,18:00,10:00,18:00,연중무휴,0,0,0,도민할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
제주민속촌,사립,제주특별자치도 서귀포시 표선면 민속해안로 631-34,,33.3223451,126.8414874,064-787-4501,제주민속촌,http://www.jejufolk.com/,,08:30,18:00,08:30,18:00,연중무휴,11000,8000,7000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
세계술박물관,사립,제주특별자치도 서귀포시 표선면 한마음초등로 431,,33.353959,126.817669,064-787-9500,세계술박물관,https://www.worlm.co.kr/,,09:00,18:00,09:00,18:00,연중무휴,5000,4000,2000,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
감귤박물관,사립,제주특별자치도 서귀포시 효돈순환로 441,,33.2715236,126.6076604,064-760-6398,감귤박물관,http://citrus.seogwipo.go.kr/,,09:00,18:00,09:00,18:00,1월1일. 설날. 추석,1500,1000,800,단체 관람 시 할인,,,064-710-3415,제주특별자치도청 문화정책과,2018-07-03,6520000,제주특별자치도 서귀포시,
박을복자수박물관,사립,서울특별시 강북구 삼양로 149가길53,서울특별시 강북구 우이동 86-4,37.653998,127.008541,02-990-7000,박을복자수박물관,http://www.embromuseum.com,,12:00,17:00,23:59,23:59,"매주 토,일,국가공휴일",6000,4000,4000,"단체(20명이상) 성인 3,000원, 청소년·어린이 2,000원",현대 한국자수 발전에 기여한 박을복 선생의 업적을 기리고 한국 자수의 역사 및 감상 자수를 일반에게 선보여 문화향수의 기회 제공,"지하철 4호선 수유역(3번 출구)에서 120번, 153번 탑승 후 덕성여대 하차",02-901-6215,서울특별시 강북구청,2018-08-11,3080000,서울특별시 강북구,
