시설명,박물관미술관구분,운영기관전화번호,소재지도로명주소
제주민속촌,사립,064-787-4501,제주특별자치도 서귀포시 표선면 민속해안로 631-34
세계술박물관,사립,064-787-9500,제주특별자치도 서귀포시 표선면 한마음초등로 431
감귤박물관,사립,064-760-6398,제주특별자치도 서귀포시 효돈순환로 441
박을복자수박물관,사립,02-990-7000,서울특별시 강북구 삼양로 149가길53
무안군오승우미술관,공립,061-450-5482,전라남도 무안군 삼향읍 초의길 7
이천시립월전미술관,공립,031-637-0033,경기도 이천시 경충대로 2709번길 185
이천시립박물관,공립,031-635-8500,경기도 이천시 경충대로 2697번길 172
유엔평화기념관,사립,051-901-1400,부산광역시 남구 홍곡로320번길 106
경성대학교박물관,대학,051-663-5381,부산광역시 남구 수영로 309
부경대학교박물관,대학,051-629-6771,부산광역시 남구 용소로 45
부산시립박물관,공립,051-610-7150,부산광역시 남구 유엔평화로 63
경성대학교미술관,대학,051-663-5361,부산광역시 남구 수영로 309
하남역사박물관,공립,031-790-7915,경기도 하남시 덕풍동로 30
정림사지박물관,공립,041-832-2721,충청남도 부여군 부여읍 정림로 83
예송미술관,공립,02-2147-2810,서울특별시 송파구 백제고분로 242 구민회관 1층
한국광고박물관,사립,02-2144-0116,서울특별시 송파구 올림픽로35길 137 한국광고문화회관 3층
소마미술관,사립,02-425-1077,서울특별시 송파구 올림픽로 424
서울올림픽기념관,사립,02-410-1354,서울특별시 송파구 올림픽로 424
롯데월드민속박물관,사립,1661-2000,서울특별시 송파구 올림픽로 240 호텔롯데 롯데월드
한미사진미술관,사립,02-418-1315,"""서울특별시 송파구 위례성대로14, 한미타워 19.20층"""
한성백제박물관,공립,02-2152-5800,"""서울특별시 송파구 위례성대로71, 한성백제박물관"""
몽촌역사관,공립,02-2152-5900,서울특별시 송파구 올림픽로424
롯데월드아쿠아리움,사립,1661-2000,서울특별시 송파구 올림픽로300
롯데뮤지엄,사립,02-3213-1132,서울특별시 송파구 올림픽로 300
옹기민속박물관,사립,02-900-0900,서울특별시 도봉구 삼양로 574-41
덕성여자대학교 박물관,사립,02-901-8131,서울특별시 도봉구 근화교길 19 덕성여자대학교
산악박물관,사립,02-909-3693,서울특별시 도봉구 도봉산길 86
신평생활사박물관,국립,063-640-4121,전라북도 임실군 신평면 석등슬치로369
조태일 시문학기념관,공립,061-362-5868,전라남도 곡성군 죽곡면 태안로 622-38
거창박물관,공립,055-940-8740,경상남도 거창군 거창읍 수남로 2181
김중업건축박물관,공립,031-687-0909,경기도 안양시 만안구 안양예술공원로103번길 4 (석수동)
안양박물관,공립,031-687-0909,경기도 안양시 만안구 안양예술공원로103번길 4 (석수동)
돌석도예박물관,사립,031-464-7734,경기도 안양시 만안구 병목안로 306
한광미술관,사립,051-469-0095,부산광역시 중구 중앙대로 130 한광빌딩 4층
국립제주박물관,국립,064-720-8000,제주특별자치도 제주시 일주동로 17
민속자연사박물관,공립,064-710-7708,제주특별자치도 제주시 삼성로 40
제주교육박물관,공립,064-752-9101,제주특별자치도 제주시 오복4길 25
신영영화박물관 무비스타,사립,064-805-0008,제주특별자치도 서귀포시 남원읍 태위로 536
제주민속촌,사립,064-787-4501,제주특별자치도 서귀포시 표선면 민속해안로 631-34
제주대학교?박물관,대학,064-754-2242,제주특별자치도 제주시 제주대학교 102
설록차전시관,사립,064-794-5312,제주특별자치도 서귀포시 안덕면 신화역사로 15
제주평화박물관,사립,064-772-2500,제주특별자치도 제주시 한경면 청수서5길 63
감귤박물관,사립,064-760-6398,제주특별자치도 서귀포시 효돈순환로 441
아프리카 박물관,사립,064-738-6565,제주특별자치도 서귀포시 이어도로 49
제주돌박물관,사립,064-710-7731,제주특별자치도 제주시 조천읍 남조로 2023
제주건강과 성 박물관,사립,064-792-5700,제주특별자치도 서귀포시 안덕면 일주서로 1611
파파월드,사립,064-799-7272,제주특별자치도 제주시 애월읍 평화로 2157
해녀박물관,사립,064-782-9898,제주특별자치도 제주시 구좌읍 해녀박물관길 26
세계자동차 제주박물관,사립,064-792-3000,제주특별자치도 서귀포시 안덕면 중산간서로 1610
테마공원 선녀와나무꾼,사립,064-784-9004,제주특별자치도 제주시 조천읍 선교로 267
조안베어뮤지엄,사립,064-739-1024,제주특별자치도 서귀포시 대포로 113
김만덕기념관,공립,064-759-6090,제주특별자치도 제주시 산지로 7(건입동)
초콜릿 박물관,사립,064-792-3121,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144 대정농공단기 내
곰완구전시관 (테디베어뮤지엄),사립,064-738-7600,제주특별자치도 서귀포시 중문관광로110번길 31 중문관광단지내
제주유리박물관,사립,064-792-6262,제주특별자치도 서귀포시 중산간서로 1403
제주4.3 평화기념관,사립,064-710-8435,제주특별자치도 제주시 명림로 430
설문대여성문화센터여성역사문화전시관,공립,064-710-4246,제주특별자치도 제주시 선덕로8길 12
세계조가비박물관,사립,064-762-5551,제주특별자치도 서귀포시 태평로 284
메이즈 뮤지움,사립,064-784-3838,제주특별자치도 제주시 구좌읍 비자림로 2134-47
다희연 티 뮤지엄,사립,064-782-0005,제주특별자치도 제주시 조천읍 선교로 117
제주해양과학관 (아쿠아플라넷),사립,064-780-0900,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15
SOS박물관,사립,064-738-1448,제주특별자치도 서귀포시 월드컵로 31
본태박물관,사립,064-792-8108,제주특별자치도 서귀포시 안덕면 산록남로762번길 69
넥슨컴퓨터 박물관,사립,064-745-1994,제주특별자치도 제주시 1100로 3198-8
헬로키티아일랜드,사립,064-792-6114,제주특별자치도 서귀포시 안덕면 한창로 340
제주항공우주박물관,사립,064-800-2009,제주특별자치도 서귀포시 안덕면 녹차분재로 218
한울랜드뮤지엄,사립,064-783-5788,제주특별자치도 제주시 구좌읍 동백로 458
세계오지민속박물관 (베니스랜드),사립,064-784-6565,제주특별자치도 서귀포시 성산읍 서성일로 474
제주커피박물관 바움,사립,064-784-2255,제주특별자치도 서귀포시 성산읍 서성일로 1168번길 89-17
닥종이인형박물관,사립,064-739-3906,제주특별자치도 서귀포시 월드컵로 33
세계술박물관,사립,064-787-9500,제주특별자치도 서귀포시 표선면 한마음초등로 431
기당미술관,공립,064-733-1586,제주특별자치도 서귀포시 남성중로 153번길 15
이중섭미술관,공립,064-760-3567,제주특별자치도 서귀포시 이중섭로 27-3
김영갑갤러리 (두모악),사립,064-784-9905,제주특별자치도 서귀포시 성산읍 삼달로 137
자연사랑 미술관,사립,064-787-3110,제주특별자치도 서귀포시 표선면 가시로613번길 46
러브랜드 미술관,사립,064-712-6988,제주특별자치도 제주시 1100로 2894-72
제주 현대미술관,공립,064-710-7801,제주특별자치도 제주시 한경면 저지14길 35 외 3필지
돌하르방공원,사립,064-782-0570,제주특별자치도 제주시 조천읍 북촌서1길 70
포레스트판타지아,사립,064-794-9680,제주특별자치도 서귀포시 안덕면 일주서로 1836
제주도립 김창열미술관,공립,064-710-4141,제주특별자치도 제주시 한림읍 용금로 883-5
제주 유리의 성,사립,064-772-7777,제주특별자치도 제주시 한경면 녹차분재로 462
소암기념관,공립,064-760-3511,제주특별자치도 서귀포시 물동산길 22
제주 도립미술관,공립,064-710-4300,제주특별자치도 제주시 1100로 2894-78
제주추사관,공립,064-710-6803,제주특별자치도 서귀포시 대정읍 추사로 44
박물관은살아있다,사립,064-805-0888,제주특별자치도 서귀포시 중문관광로 42
그리스신화박물관,사립,064-773-5800,제주특별자치도 제주시 한림읍 광산로 942
왈종미술관,사립,064-763-3600,제주특별자치도 서귀포시 칠십리로214번길 30
성안미술관,사립,064-729-9175,제주특별자치도 제주시 중앙로 470
아라리오뮤지엄,사립,064-720-8250,제주특별자치도 제주시 탑동로 14
유인미술관,사립,064-731-7791,제주특별자치도 서귀포시 성산읍 고성리 21
경북대학교 박물관,대학,053-950-6537,대구광역시 북구 대학로 80(산격동)
대구보건대학교 인당박물관,대학,053-320-1857,대구광역시 북구 영송로 15(태전동)
경북대학교 미술관,대학,053-950-7968,대구광역시 북구 대학로 80(산격동)
백제문화체험박물관,공립,041-940-4871,충청남도 청양군 대치면 장곡길 43-24
계명대학교 행소박물관,대학,053-580-6992,대구광역시 달서구 달구벌대로 1095
소래역사관,공립,032-460-0591,인천광역시 남동구 아암대로 1605
애보박물관,사립,032-466-3181,인천광역시 남동구 만의골로 71
한국전통음식박물관,사립,032-466-3181,인천광역시 남동구 만의골로 71
규남박물관,사립,070-4233-9060,전라남도 화순군 이서면 백아로 3109
다산미술관,사립,061-371-3443,전라남도 화순군 남면 다공길 25
소소미술관,사립,061-375-1995,전라남도 화순군 도곡면 지강로 467-1
소아르미술관,사립,061-371-8585,전라남도 화순군 화순읍 화보로 4439-10
교동아트미술관,사립,063-287-1245,전라북도 전주시 완산구 경기전길89
전주미술관,사립,063-283-8887,전라북도 전주시 완산구 기린대로 85 르윈호텔 B1
누벨벡미술관,사립,063-222-7235,전라북도 전주시 완산구 홍산북로 29-5
예깊미술관,사립,063-911-2207,전라북도 군산시 대학로 64 에이팩스 빌딩 2층
이당미술관,사립,063-446-5903,전라북도 군산시 구영 6길 108번지
익산예술의전당 미술관,공립,1577-0072,전라북도 익산시 동서로 490
W미술관,사립,063-835-3033,전라북도 익산시 어양동 동서로 504
정읍시립미술관,공립,063-539-7114,전라북도 정읍시 시기 4길 7
수지미술관,사립,063-631-1009,전라북도 남원시 수지면 물머리로 525
예가람길 미술관,사립,063-632-0080,전라북도 남원시 동헌길 84
전라북도도립미술관,공립,063-280-2114,전라북도 완주군 구이면 모악산길 111-6
VM(비주얼 미디어)아트 미술관,사립,070-8915-8123,전라북도 완주군 삼례읍 삼례역로 81-13
최북미술관,공립,063-320-2114,전라북도 무주군 무주읍 최북로 15
금구원야외조각미술관,사립,063-584-6770,전라북도 부안군 변산면 조각공원길 31
휘목미술관,사립,063-584-0006,전라북도 부안군 진서면 운호길 10
국립전주박물관,공립,063-223-5651,전라북도 전주시 완산구 쑥고개로 249
미륵사지유물전시관,공립,063-830-0900,전라북도 익산시 금마면 미륵사지로 362
전주역사박물관,공립,063-228-6485,전라북도 전주시 완산구 쑥고개로 259
익산보석박물관,공립,063-859-4641,전라북도 익산시 왕궁면 호반로 8
남원향토박물관,공립,063-620-6792,전라북도 남원시 양림길 14-9
벽골제농경문화박물관,공립,063-540-4989,전라북도 김제시 부량면 벽골제로 442
고창판소리박물관,공립,063-560-8061,전라북도 고창군 고창읍 동리로 100
전주전통술박물관,공립,063-287-6305,전라북도 전주시 완산구 한지길 74
왕궁리유적전시관,공립,063-859-4631,전라북도 익산시 왕궁면 궁성로 666
어진박물관,공립,063-231-0190,전라북도 전주시 완산구 태조로 44
청자박물관,공립,063-580-3964,전라북도 부안군 보안면 청자로 1493
군산근대역사박물관,공립,063-454-7870,전라북도 군산시 해망로 240
동학농민혁명기념관,공립,063-536-1894,전라북도 정읍시 덕천면 동학로 742
전라북도산림박물관,공립,063-652-6792,전라북도 순창군 복흥면 추령로 1777
진안역사박물관,공립,063-430-8086,전라북도 진안군 진안읍 내사양길 7
익산 마한박물관,공립,063-859-4633,전라북도 익산시 금마면 고도 9길 41-14
정읍시립박물관,공립,063-539-6792,전라북도 정읍시 내장산로 370-12
순창장류박물관,공립,063-650-1627,전라북도 순창군 순창읍 장류로 43
원불교역사박물관,사립,063-850-3240,전라북도 익산시 익산대로 501
원숭이자연사박물관,사립,063-584-0708,전라북도 부안군 상서면 부안로 1783
전주한지박물관,사립,063-210-8103,전라북도 전주시 덕진구 팔복로 59
예수병원의학박물관,사립,063-230-8778,전라북도 전주시 완산구 서원로 365
카메라영상박물관,사립,063-560-6600,전라북도 완주군 소양면 신교응암길 14
연안이씨종중문적(보물651호)박물관,사립,063-852-7277,전라북도 익산시 삼기면 기산리 332-1번지
완주책박물관,사립,070-8915-8131,전라북도 완주군 삼례읍 후정리 247-1
전북대학교박물관,대학,063-270-3488,전라북도 전주시 덕진구 백제대로 567
전주대학교박물관,대학,063-220-2159,전라북도 전주시 완산구 효자동3가 120
군산대학교박물관,대학,063-469-4191,전라북도 군산시 미룡동 1170
원광대학교박물관,대학,063-850-5482,전라북도 익산시 익산대로 460
일본군''위안부''역사관,사립,031-768-0064,경기도 광주시 퇴촌면 가새골길 85
영은미술관,사립,031-761-0137,경기도 광주시 청석로 300
닻미술관,사립,031-798-2581,경기도 광주시 초월읍 진새골길 184
만해기념관,사립,031-744-3100,경기도 광주시 남한산성로792번길 24-7
사람박물관 얼굴,사립,031-765-3522,경기도 광주시 남종면 분원길 3-6
풀짚공예박물관,사립,031-717-4538,경기도 광주시 오포읍 문형산길 76
백제군사박물관,공립,041-746-8432,충청남도 논산시 부적면 충곡로 311-54
세종특별자치시립 민속박물관,공립,044-300-8831,세종특별자치시 전의면 금사길75
교과서박물관,사립,044-300-8831,세종특별자치시 연동면 청연로 492-14
뒤웅박고을,사립,044-868-7007,세종특별자치시 전동면 베일길 90-43
연기향토박물관,사립,044-862-7449,세종특별자치시 연서면 양대길 34-4
산림박물관,공립,044-850-2686,세종특별자치시 금남면 산림박물관길 110
국립조세박물관,국립,044-204-4646,세종특별자치시 국세청로 8-14
남도향토음식박물관,공립,062-410-6638,광주광역시 북구 설죽로 477
대성동고분박물관,공립,055-330-6881,경상남도 김해시 가야의 길 126
클레이아크 김해미술관,공립,055-340-7000,경상남도 김해시 진례면 진례로 275-51
고구려대장간마을,공립,031-550-2363,경기도 구리시 우미내길 41 (아천동)
외교박물관,국립,02-3497-8700,서울특별시 서초구 남부순환로 2572
전기박물관,사립,02-2105-8192,서울특별시 서초구 효령로72길60 한전아트센터
관문사성보박물관,사립,02-3460-5300,서울특별시 서초구 바위뫼로7길 111
인도박물관,사립,02-585-2185,서울특별시 서초구 서초중앙로2길35 광림빌딩
서울서예관,국립,02-580-1282,서울특별시 서초구 남부순환로2406 예술의전당
한가람디자인미술관,국립,02-580-1282,서울특별시 서초구 남부순환로2406 예술의전당
한가람미술관,국립,02-580-1282,서울특별시 서초구 남부순환로2406 예술의전당
유리지공예관,사립,02-578-6663,서울특별시 서초구 중앙로 555
한원미술관,사립,02-588-5642,서울특별시 서초구 남부순환로2423 한원빌딩B1
인천광역시립박물관,공립,032-440-6750,인천광역시 연수구 청량로160번길 26
가천박물관,사립,032-833-4747,인천광역시 연수구 청량로102번길 40-9
경남도립미술관,공립,055-254-4600,경상남도 창원시 의창구 용지로 296(경남도립미술관)
군산근대역사박물관,공립,063-454-7870,전라북도 군산시 해망로 240
양산시립박물관,공립,055-392-3314,경상남도 양산시 북정로78
의성조문국박물관,공립,054-830-6909,경상북도 의성군 금성면 초전1길 83
영암군립하정웅미술관,공립,061-470-6841,전라남도 영암군 군서면 구림로 96
영암도기박물관,공립,061-470-6851,전라남도 영암군 군서면 서호정길 5
상주자전거박물관,공립,054-534-4973,경상북도 상주시 용마로 415
함창 명주박물관,공립,054-541-9260,경상북도 상주시 함창읍 무운로 1593
상주박물관,공립,054-537-6752,경상북도 상주시 경천로 684
허준박물관,공립,02-3661-8686,서울특별시 강서구 허준로 87
겸재정선미술관,공립,02-2659-2206,서울특별시 강서구 양천로47길 36
정읍시립미술관,공립,063-539-6419,전라북도 정읍시 시기4길 7
정읍시립박물관,공립,063-539-6792,전라북도 정읍시 내장산로 370-12
건국대학교박물관,대학,02-450-3880,서울특별시 광진구 능동로 120
세종대학교박물관,대학,02-3408-3277,서울특별시 광진구 능동로21길 37
추사박물관,공립,02-2150-3650,경기도 과천시 추사로 78(주암동)
세계다문화박물관,사립,02-323-6848,서울특별시 은평구 불광로 135
은평역사한옥박물관,공립,02-351-8524,서울특별시 은평구 연서로50길 8
통영옻칠미술관,사립,055-649-5257,경상남도 통영시 용남면 용남해안로 36
전혁림미술관,사립,055-645-7349,경상남도 통영시 봉수1길 10(봉평동)
통영시립박물관,공립,055-646-8371,경상남도 통영시 중앙로 65(도천동)
평강 성서유물박물관,사립,02-2686-9496,서울특별시 구로구 오류로8라길 44
거제박물관,사립,055-687-6790,경상남도 거제시 거제대로 3791
거제민속박물관,사립,055-637-3722,경상남도 거제시 연초면 대금산로 339-7
해금강테마박물관,사립,055-632-0670,경상남도 거제시 남부면 해금강로 120
외도조경식물원,사립,070-7715-3330,경상남도 거제시 일운면 와현리 외도길 17
거제어촌민속전시관,공립,055-639-8270,경상남도 거제시 일운면 지세포해안로 41
포로수용소유적박물관,공립,055-639-8125,경상남도 거제시 계룡로 61
국립해양박물관,국립,051-309-1900,부산광역시 영도구 해양로301번길 45
수도국산달동네박물관,공립,032-770-6133,인천광역시 동구 솔빛로 51(송현동)
진주시립 이성자미술관,공립,055-749-3661,경상남도 진주시 에나로 128번길 14
국립진주박물관,국립,055-742-5951,경상남도 진주시 남강로 626-35
경상대학교 부속박물관,대학,055-772-0601,경상남도 진주시 진주대로 501
진주 청동기문화박물관,공립,055-749-5172,경상남도 진주시 대평면 호반로 1353
삼성 교통박물관,사립,031-320-9900,경기도 용인시 처인구 포곡읍 에버랜드로 376번길 171
한국등잔박물관,사립,031-334-0797,경기도 용인시 처인구 모현면 능곡로56번길 8
명지대학교박물관,사립,031-330-6074,경기도 용인시  처인구 명지로 116
용인대학교박물관,사립,031-8020-3001,경기도 용인시  처인구 용인대학로 134
경희대학교혜정박물관,사립,031-201-2014,경기도 용인시  기흥구 덕영대로 1732
단국대학교석주선기념박물관,사립,031-8005-2389,경기도 용인시  수지구 죽전로 152
경기도박물관,공립,031-288-5300,경기도 용인시  기흥구 상갈로 6
경기도어린이박물관,공립,031-270-8636,경기도 용인시  기흥구 상갈로 6
한국민속촌박물관,사립,031-288-0000,경기도 용인시  기흥구 민속촌로 90
삶의이야기가있는집,사립,031-334-4115,경기도 용인시  처인구 원삼면 내동로 50-13
호암미술관,사립,031-320-1800,경기도 용인시  처인구 포곡읍 에버랜드로562번길 38
용인문화유적전시관,공립,031-324-4796,경기도 용인시  기흥구 동백3로 79
예아리박물관,사립,031-323-7277,경기도 용인시  백암면 원설로 270번길 25
신영숙컬렉션박물관,사립,031-282-8845,경기도 용인시  기흥구 흥덕4로 63
설민민화박물관,사립,031-336-1541,경기도 용인시  처인구 동부로 823
한국미술관,사립,031-284-6418,경기도 용인시  기흥구 마북로 244-2
이영미술관,사립,031-213-8223,경기도 용인시  기흥구 흥덕4로 63
마가미술관,사립,031-334-0365,경기도 용인시  처인구 모현면 문형동림로101번길 37
백남준아트센터,공립,031-201-8500,경기도 용인시 기흥구 상갈로 6
안젤리미술관,사립,031-323-1968,경기도 용인시  처인구 이원로 244
청량산박물관,공립,054-679-6672,경상북도 봉화군 명호면 광석길 39
충재박물관,공립,054-674-0963,경상북도 봉화군 봉화읍 충재길 60
울산박물관,공립,052-222-8501,울산광역시 남구 두왕로 277
울산암각화박물관,공립,052-229-4797,울산광역시 울주군 두동면 반구대안길 254
울산대곡박물관,공립,052-229-6638,울산광역시 울주군 두동면 서하천전로 257
동두천시 경기북부어린이박물관,공립,031-860-2860,경기도 동두천시 평화로 2910번길 46
자유수호평화박물관,공립,031-860-3333,경기도 동두천시 평화로 2910번길 96-63
대구미술관,공립,053-803-7900,대구광역시 수성구 미술관로 40(삼덕동)
가일미술관,사립,031-584-4722,경기도 가평군 청평면 북한강로 1549
남송미술관,사립,031-581-0772,경기도 가평군 북면 백둔로 322
설미재미술관,사립,031-585-6276,경기도 가평군 설악면 유명로 1454-38
일지미술관,사립,031-585-0180,경기도 가평군 조종면 운악청계로 140
남해유배문학관,공립,055-860-8626,경상남도 남해군 남해읍 남해대로 2745
보물섬마늘나라,공립,055-860-3986,경상남도 남해군 이동면 남해대로 2443
덕포진교육박물관,사립,031-989-8580,경기도 김포시 대곶면 덕포진로103번길 90
보름산미술관,사립,031-985-0005,경기도 김포시 고촌읍 수기로 100-78
CICA미술관,사립,031-988-6363,경기도 김포시 양촌읍 삼도로 196-30
다도박물관,사립,031-998-1000,경기도 김포시 월곶면 애기봉로275번길 187-51
CICA미술관,사립,031-988-6363,경기도 김포시 삼도로 196-30
보름산미술관,사립,031-985-0005,경기도 김포시 수기로 100-78
외할머니의 부엌,사립,031-984-1993,경기도 김포시 덕포진로 103번길 95-7
김포다도박물관,사립,031-998-1000,경기도 김포시 애기봉로 275번길 187-49
덕포진교육박물관,사립,031-989-8580,경기도 김포시 덕포진로 103번길 90
청주고인쇄박물관,공립,043-201-4262,충청북도 청주시 흥덕구 직지대로 713
청주시립미술관,공립,043-201-2650,충청북도 청주시 서원구 충렬로18번길 50
여수민속전시관,공립,061-683-2231,전라남도 여수시 율촌면 서부로 1442
아쿠아플라넷여수,사립,061-660-1111,전라남도 여수시 오동도로 61-11
서대문자연사박물관(3월~10월),공립,02-330-8899,서울특별시 서대문구 연희로 32길 51
서대문자연사박물관(11월~2월),공립,02-330-8899,서울특별시 서대문구 연희로 32길 51
서대문형무소역사관(3월~10월),공립,02-360-8585,서울특별시 서대문구 통일로 251
서대문형무소역사관(11월~12월),공립,02-360-8585,서울특별시 서대문구 통일로 251
산청한의학박물관,공립,055-970-6623,경상남도 산청군 금서면 동의보감로555번길 45-6
산청박물관,공립,070-8990-2133,경상남도 산청군 생초면 산수로 1064
한국족보박물관,공립,042-582-4445,대전광역시 중구 뿌리공원로 79(침산동)
63아트,사립,02-789-5663,서울특별시 영등포구 63로 50
63아쿠아플라넷,사립,02-789-5663,서울특별시 영등포구 63로 50
한국잡지박물관,사립,02-360-0041,서울특별시 영등포구 여의대방로 67길 11
증도갯벌생태전시관,공립,061-275-8400,전라남도 신안군 증도면 지도증도로 1766-4
하의3도농민운동기념관,공립,061-240-8865,전라남도 신안군 하의면 대리 35-9
증도소금박물관,사립,061-275-0829,전라남도 신안군 증도면 지도증도로 1058
저녁노을미술관,공립,061-271-1145,전라남도 신안군 압해읍 수락길 350
박득순미술관,사립,02-502-4646,전라남도 신안군 흑산면 진마을길 53
의병박물관,공립,055-570-2345,경상남도 의령군 의령읍 충익로 1-25
록봉민속교육박물관,사립,051-892-5997,부산광역시 강서구 가덕해안로 741
옥천향토전시관,공립,043-730-3417,충청북도 옥천군 안내면 장계1길 57
가산박물관,사립,043-733-9129,충청북도 옥천군 안내회남로 310-5
엄미술관,사립,031-222-9188,경기도 화성시 봉담읍 오궁길 37
향토박물관,공립,031-369-6376,경기도 화성시 향남읍 행정동로 96
용주사효행박물관,사립,031-232-0660,경기도 화성시 용주로 136
수원대학교박물관,대학,031-220-2341,경기도 화성시 봉담읍 와우안길 17
박수근미술관,공립,033-480-2662,강원도 양구군 양구읍 박수근로 265-15
양구백자박물관,공립,033-480-2664,강원도 양구군 방산면 평화로 5182
양구선사박물관,공립,033-480-2677,강원도 양구군 양구읍 금강산로 439-54
양구근현대사박물관,공립,033-482-1945,강원도 양구군 양구읍 금강산로 439-51
양구인문학박물관,공립,033-482-9800,강원도 양구군 양구읍 파로호로 869번길 101
