관리번호,공원명
41133-00035,삼창아파트공원
41133-00039,도란도란
41133-00040,여수지구3호(한아름)공원
41133-00043,여수지구4호(따르릉)공원
41133-00045,여수지구5호(사각사각)공원
41135-00002,은행2동(달빛)공원
41135-00003,은행정이 공원
41135-00006,삼남아파트(힐스)공원
41135-00007,은행제1호공원
41135-00008,은행제2호공원
41135-00011,은행제3호공원
41135-00012,은행제5호공원
41135-00013,은행제7호공원
41135-00014,은행제8호공원
41135-00015,은행제9호공원
41135-00016,은행제11호공원
41135-00017,은행제13호공원
41135-00019,은행제14호공원
41135-00010,이매공원
41135-00020,성남공원
41135-00021,서현공원
41135-00022,탑골공원
41135-00023,성지공원
41135-00024,상희공원
41135-00025,점골공원
41135-00026,태현공원
41135-00027,맹산공원
41135-00029,당골공원
41135-00030,중앙공원
41135-00031,황새울공원
41135-00032,마루공원
41135-00033,능골공원
41135-00034,정자공원
41135-00036,주택공원
41135-00037,금곡공원
41135-00039,머내과학기술공원
41135-00040,벌말공원
41135-00042,오리공원
41135-00043,진고개공원
41135-00045,석촌공원
41135-00046,구미공원
41135-00048,맹산2공원
41135-00049,수내공원
41135-00050,판교제1호(청계)공원
41135-00051,판교제2호(운중)공원
41135-00052,판교제3호(두밀)공원
41135-00053,판교제4호(판교)공원
41135-00054,판교제6호(붓들)공원
41135-00055,판교제7호(송현)공원
41135-00057,판교제8호(화랑)공원
41135-00058,판교제9호(나들이)공원
41135-00060,판교제10호(낙생대)공원
41135-00061,판교제11호(판교테크노파크)공원
41135-00063,꿈동산공원
41135-00064,하늘공원
41135-00066,야탑공원
41135-00067,연꽃공원
41135-00069,매향공원
41135-00070,새싹공원
41135-00072,?속공원
41135-00073,양촌공원
41135-00099,중탑공원
41135-00100,탑공원
41135-00101,종달새공원
41135-00102,오야소공원
41135-00103,무잡모퉁이공원
41135-00104,장승백이공원
41135-00106,무장들공원
41135-00107,탑골공원
41135-00109,목련공원
41135-00110,신일공원
41135-00113,과수원공원
41135-00114,아름공원
41135-00116,매송공원
41135-00117,방아다리공원
41135-00118,이매길공원
41135-00120,구렛들공원
41135-00121,누엣길공원
41135-00123,솔밭공원
41135-00124,소공원공원
41133-00033,점골공원
41133-00037,양지공원
41133-00042,서현공원
41133-00046,분당공원
41135-00004,효자공원
41135-00009,서당공원
41135-00018,양영공원
41135-00028,수련공원
41135-00035,미래공원
41135-00038,안말공원
41135-00041,장안공원
41135-00044,동문공원
41135-00047,태현공원
41135-00056,선지봉공원
41135-00059,초림공원
41135-00075,햇빛공원
41135-00076,내정공원
41135-00077,푸른공원
41135-00078,수내공원
41135-00079,철쭉공원
41135-00080,한솔공원
41135-00082,느티마을공원
41135-00083,백현공원
41135-00085,봉우재공원
41135-00086,정든공원
41135-00088,불정공원
41135-00089,산자락공원
41135-00090,늘푸른공원
41135-00091,앞구미공원
41135-00093,청솔공원
41135-00094,뒷구미공원
41135-00096,벌말공원
41135-00097,까치마을공원
41135-00126,샘터공원
41135-00127,하얀공원
41135-00128,오리공원
41135-00129,수평공원
41135-00130,구미공원
41135-00131,골안공원
41135-00125,불곡공원
41135-00132,파랑새공원
41135-00136,야생화공원
41135-00137,무지개공원
41135-00139,덕봉공원
41135-00140,넘말공원
41133-00047,큰골공원
41133-00048,판교제1호(바람길)공원
41131-00003,판교제2호(물빛)공원
41131-00004,판교제3호(눈꽃)공원
41131-00005,판교제4호(도담)공원
41131-00006,판교제5호(너울)공원
41131-00007,판교제6호(너른들)공원
41131-00008,판교제7호(미르)공원
41131-00014,판교제8호(봄볕)공원
41131-00015,판교제9호(바람개비)공원
41131-00016,판교제10호(송현)공원
41131-00018,판교제11호(삼평)공원
41131-00021,판교제12호(숲안)공원
41131-00024,판교제13호(올망졸망)공원
41131-00025,판교제14호(정자목)공원
41131-00066,판교제15호(보물섬)공원
41133-00001,판교제16호(낙생)공원
41133-00003,판교제17호(붓들)공원
41133-00004,판교제18호(빛나래)공원
41133-00005,판교제19호(우주)공원
41133-00006,판교제20호(달팽이)공원
41133-00007,판교제21호(물방울)공원
41133-00009,판교제22호(환상)공원
41133-00011,판교제1호체육공원공원
41133-00012,판교제2호체육공원공원
41133-00013,판교제3호체육공원공원
41133-00015,남서울묘지공원공원
41133-00016,판교역사공원공원
41133-00018,종알종알 공원
41133-00019,은행제15호공원
41133-00022,은행제16호공원
44790-00001,제1어린이공원
44790-00002,제2어린이공원
44790-00003,제3어린이공원
44790-00004,제4어린이공원
44790-00006,향교공원
44790-00007,교월공원
44790-00010,지천생태공원
44790-00008,벽천1공원
44790-00009,벽천2공원
44790-00011,읍내1공원
44790-00012,읍내2공원
46230-00001,우산
46230-00002,덕례98호
46230-00003,초남2공단
46230-00004,구산1
46230-00005,구산2
46230-00006,구산3
46230-00007,구산29
46230-00008,구산30
46230-00009,구산31
46230-00010,구산32
46230-00011,칠성5
46230-00012,칠성6
46230-00013,칠성7
46230-00014,칠성8
46230-00015,칠성9
46230-00016,칠성11
46230-00017,호북
46230-00018,인서1
46230-00019,인서2
46230-00020,덕례1
46230-00021,덕례2
46230-00022,예구
46230-00023,덕산
46230-00024,덕례5
46230-00025,용강1
46230-00026,용강2
46230-00027,용강3
46230-00028,용강4
46230-00029,용강5
46230-00030,4호
46230-00031,16호
46230-00032,19호
46230-00033,25호
46230-00034,교통광장
46230-00035,백학광장
46230-00036,소공원
46230-00037,장동폐도부지체육공원
46230-00038,수어댐하류시민공원
46230-00039,인서소공원
46230-00040,신금산단
46230-00041,목성소공원
46230-00042,덕례생태공원
46230-00043,익신산단1
46230-00044,익신산단2
46230-00045,서산
46230-00046,중동
46230-00047,마동
46230-00048,마동(현충탑)
46230-00049,광영
46230-00050,명당제2
46230-00051,배알도
46230-00052,해양
46230-00053,가야산
46230-00054,삼봉
46230-00055,명당2지구
46230-00056,중동1
46230-00057,중동2
46230-00058,중동4
46230-00059,중동14
46230-00060,중동15
46230-00061,중동16
46230-00062,중동17
46230-00063,하광
46230-00064,상광
46230-00065,월광
46230-00066,광영
46230-00067,광영1
46230-00068,도촌
46230-00069,성황
46230-00070,중동
46230-00071,광영1
46230-00072,광영2
46230-00073,중동3
46230-00074,태인5
46230-00075,중동6
46230-00076,중동7
46230-00077,성황8
46230-00078,마동9
46230-00079,황금10
46230-00080,마동11
46230-00081,마동12
46230-00082,마동13
46230-00083,광영14
46230-00084,마동15
46230-00085,마동17
46230-00086,중동18
46230-00087,중동20
46230-00088,중동21
46230-00089,진월 22
46230-00090,미관43
46230-00091,미관23
46230-00092,미관42
46230-00093,미관44
46230-00094,미관47
46230-00095,미관40
46230-00096,미관49
46230-00097,미관45
46230-00098,미관48
46230-00099,사동
46230-00100,커뮤니티유원지
46230-00101,가야산시민휴식공간
46230-00102,설성
46230-00103,와우생태호수공원
46230-00104,마동저수지생태공원
46230-00105,공단공원
48850-00002,하동공원
47770-00001,괴시공원
47770-00002,오포공원
47770-00003,강구공원
47770-00004,화개공원
47770-00005,축산공원
47770-00007,덕곡 어린이공원
47770-00008,덕곡 제1 어린이공원
47770-00009,우곡 제1 어린이공원
47770-00011,강변공원
47770-00014,성내공원
47770-00015,벌영1호 어린이공원
47770-00016,성내1호 어린이공원
47770-00017,금진공원
47770-00018,남호1호 어린이공원
47770-00019,장사1호 어린이공원
47770-00020,장사2호 어린이공원
47770-00021,병곡1호 어린이공원
47770-00022,신기1호 어린이공원
47770-00023,우곡 제1 소공원
47770-00024,우곡 제2 소공원
47770-00025,산림생태 문화공원
47770-00026,소공원 강1 (오포지구)
47770-00027,소공원 1 (제2농공단지)
47770-00028,백석1공원 (백석지구)
47770-00029,백석2공원 (백석지구)
47770-00030,백석3공원 (백석지구)
47770-00031,백석4공원 (백석지구)
47770-00032,소공원1(로하스농공단지)
47770-00033,남석 어린이공원
47770-00034,대지1호공원
47770-00035,부흥1호공원
47770-00036,부흥2호공원
47770-00037,부흥3호공원
47820-00006,장연공원
28140-00010,화수13공원
28140-00011,창영공원
28140-00012,송림초교(주거)1호소공원
28140-00013,송림초교(주거)2호소공원
28140-00014,금송공원
28140-00015,서림구역소공원
28140-00016,샛골1호어린이공원
28140-00017,샛골2호어린이공원
28140-00018,송림3구역1호공원
28140-00019,송림3구역2호공원
28140-00020,송림현대상가구역1호
28140-00021,"송림1,2동1호공원"
28140-00022,"송림1,2동2호공원"
28140-00023,"송림1,2동3호공원"
28140-00024,화수화평1호공원
28140-00025,화수화평2호공원
28140-00026,화수화평공원
28140-00027,우송어린이공원
28140-00028,괭이부리소공원
28140-00029,만석소공원
28140-00030,대헌구역(주거)소공원
28140-00031,동인천재정비촉진지구1공원
28140-00032,동인천재정비촉진지구2공원
28140-00033,동인천재정비촉진지구3공원
28140-00034,동인천재정비촉진지구4공원
28140-00001,궁현공원
28140-00002,화도진공원
28140-00003,"인천교공원(A,B블럭)"
28140-00004,돌산공원
28140-00005,송현공원
28140-00006,수문통공원
28140-00007,만석공원
28140-00008,화수3공원
28140-00009,송림4공원
31200-12201,두부곡어린이공원
31200-12202,잠실공원
31200-12203,늘푸른공원
31200-12204,안산공원
31200-12505,통새미공원
31200-12506,송내공원
31200-12507,청솔공원
31200-12208,상방공원
31200-12509,화봉공원
31200-12710,성내어린이공원
31200-10211,수동공원
31200-10212,우리공원
31200-10213,희망공원
31200-10214,오뚜기공원
31200-10215,해맑은공원
31200-10216,으뜸공원
31200-10217,종달새공원
31200-10618,중산어린이공원
31200-10319,매곡산단공원(매곡2)
31200-10520,신천어린이공원
31200-10721,상안어린이공원
31200-10322,매곡1어린이공원
31200-10323,기령소공원
31200-10524,신천소공원
31200-10325,온누리공원
31200-12526,아람어린이공원
31200-12527,아라어린이공원
31200-12528,누리어린이공원
31200-12529,가온어린이공원
31200-12530,가람근린공원
31200-12531,한솔근린공원
31200-12232,62호소공원
31200-12333,89호공원
31200-12434,양정소공원
31200-12735,중리소공원
31200-10836,천곡뜰소공원
31200-10337,매곡소공원
31200-10638,햇빛어린이공원
31200-10639,별빛어린이공원
31200-10640,달빛어린이공원
31200-10641,중산소공원
31200-10642,효문1공원
31200-10643,효정공원
11290-00032,종암5어린이2
11290-00033,길음7-1
11290-00034,길음7-2
11290-00035,신월곡2
11290-00036,길음8-1
11290-00037,길음8-2
11290-00038,삼선1
11290-00039,돈암5
11290-00040,정릉10
11290-00001,성북
11290-00002,오동
11290-00003,개운산
11290-00004,청량
11290-00005,모랫말
11290-00006,삼선
11290-00007,범바위
11290-00008,꿈나라
11290-00009,배밭골
11290-00010,동산
11290-00011,밤골
11290-00012,햇살
11290-00013,향기
11290-00014,동방
11290-00015,샛별
11290-00016,돌뫼
11290-00017,새소리
11290-00018,종암
11290-00019,솔향기
11290-00020,해맑은
11290-00021,한울
11290-00022,솔숲
11290-00023,동망봉
11290-00024,맑은숲
11290-00025,화랑
11290-00026,매화
11290-00027,고암
11290-00028,종암6구역
11290-00029,길음8어린이1
11290-00030,길음8어린이2
11290-00031,종암5어린이1
48890-00001,대야성근린공원
47930-00001,연지공원
47930-00004,삼율제1어린이공원
47930-00005,읍내 4공원
47930-00006,왕피천엑스포공원
42810-00002,인제 제2공원
45800-00002,연곡공원
45800-00001,서림공원
45800-00003,진동공원
45800-00004,재장공원
45800-00005,용계공원
45800-00006,덕화공원
45800-00007,봉황공원
45800-00008,수문공원
45800-00009,화상공원
45800-00010,중앙공원
45800-00011,염창공원
45800-00012,계화공원
45800-00013,계상공원
45800-00014,동돈공원
45800-00015,돈지공원
45800-00016,의복공원
45800-00017,상서공원
45800-00018,백산공원
45800-00019,오곡공원
45800-00020,줄포공원
45800-00021,부안자연생태공원
45800-00022,원장공원
45800-00023,제1호근린공원
45800-00024,제2호근린공원
45800-00025,범산공원
45800-00026,백련공원
45800-00027,진서공원
45800-00028,매창공원
45800-00029,부안공원
45800-00030,제3농공단지
41430-00001,학현공원
41430-00002,능안말공원
41430-00003,왕림1호공원
41430-00004,왕림2호공원
41430-00005,통미정공원
41430-00006,골사그네공원
41430-00007,상학골공원
41430-00008,금천마을1호공원
41430-00009,금천마을2-1호공원
41430-00010,금천마을2-2호공원
41430-00011,도룡마을1-1호공원
41430-00012,도룡마을1-2호공원
41430-00013,도룡마을1-3호공원
41430-00014,도룡마을2-1호공원
41430-00015,도룡마을2-2호공원
41430-00016,대촌1호공원
41430-00017,대촌2호공원
41430-00018,민백공원
41430-00019,중청계2호공원
41430-00020,중청계3호공원
41430-00021,양지편1호공원
41430-00022,양지편2호공원
41430-00023,사나골1호공원
41430-00024,사나골2호공원
41430-00025,사나골3호공원
41430-00026,사나골4호공원
41430-00027,왕정2호공원
41430-00028,왕정3호공원
41430-00029,잰말1호공원
41430-00030,잰말2호공원
41430-00031,잰말3호공원
41430-00032,윗새우대1호공원
41430-00033,윗새우대2호공원
41430-00034,윗새우대3호공원
41430-00035,아랫새우대2호공원
41430-00036,아랫새우대3호공원
41430-00037,두산위브공원
41430-00038,공원41
41430-00039,공원44
41430-00040,공원47
41430-00041,공원48
41430-00042,공원40
41430-00043,복지공원
41430-00044,공원54
41430-00045,공원55
41430-00046,공원56
41430-00047,공원57
41430-00048,공원58
41430-00049,산들공원
41430-00050,소공원1
41430-00051,소공원2
41430-00052,소공원62
41430-00053,소공원63
41430-00054,소공원64
41430-00055,소공원65
41430-00056,소공원66
41430-00057,소공원67
41430-00058,공원
41430-00059,소공원68
41430-00060,소공원69
41430-00061,소공원70
41430-00062,오전로가족공원
41430-00063,오전초교앞공원
41430-00064,자연애공원
41430-00065,갈미공원
41430-00066,원터공원
41430-00067,한직골2호공원
41430-00068,괴말공원
41430-00069,당재마을1호공원
41430-00070,내동공원
41430-00071,내손어린이공원
41430-00072,백운공원
41430-00073,내손양지공원
41430-00074,중청계1호공원
41430-00075,왕정1호공원
41430-00076,아랫새우대1호공원
41430-00077,호수마을공원
41430-00078,청계양지공원
41430-00079,소담공원
41430-00080,푸른내공원
41430-00081,맑은내공원
41430-00082,초록공원
41430-00083,다람이공원
41430-00084,반디공원
41430-00085,까치공원
41430-00086,두터비공원
41430-00087,모락공원
41430-00088,공원
41430-00089,공원
41430-00090,공원
41430-00091,어린이공원30
41430-00092,어린이공원1
41430-00093,어린이공원31
41430-00094,언덕공원
41430-00095,현충탑공원
41430-00096,자연학습공원
41430-00097,내손1공원(문학)
41430-00098,내손2공원(중앙)
41430-00099,백운호수공원
41430-00100,빛솔공원
41430-00101,가막들공원
41430-00102,한직공원
41430-00103,물빛공원
41430-00104,산빛공원
41430-00105,왕송호수공원
41430-00106,근린공원
41430-00107,근린공원
41430-00108,근린공원
41430-00109,근린공원
41430-00110,근린공원
41430-00111,근린공원
41430-00112,모락산성공원
41430-00113,공원
41430-00114,갈미한글공원
41430-00115,문화공원3
41430-00116,노을빛공원
41430-00117,부곡공원
41430-00118,웃골공원
41430-00119,아랫골공원
41430-00120,공원
41430-00121,공원
41430-00122,공원
41430-00123,공원
41430-00124,공원
41430-00125,공원
41430-00126,청계공원
41430-00127,고천체육공원
41430-00128,부곡체육공원
41430-00129,내손공원
31140-00001,선암호수공원
31140-00002,늘봄공원
31140-00003,별빛공원
31140-00004,해연공원
31140-00005,문수공원
31140-00006,헐수정공원
31140-00007,산학공원
31140-00008,전골공원
31140-00009,진등공원
31140-00011,신복공원
31140-00012,삼호공원
31140-00013,삼한공원
31140-00014,바라미공원
31140-00015,솔숲공원
31140-00016,가시나무공원
31140-00017,정광공원
31140-00018,질골공원
31140-00019,움골공원
31140-00020,은월공원
31140-00021,쇠터공원
31140-00022,거마공원
31140-00023,봉월공원
31140-00024,감골공원
31140-00025,푸른공원
31140-00027,청솔공원
31140-00028,무둔실공원
31140-00029,비단공원
31140-00030,다문화공원
31140-00031,느티공원
31140-00032,하나공원
31140-00033,어울공원
31140-00034,동평공원
31140-00035,희망공원
31140-00036,쉼터공원
31140-00037,웨딩테마공원
31140-00038,벚꽃공원
31140-00039,가람공원
31140-00040,은비공원
31140-00041,강변공원
31140-00042,마단공원
31140-00043,왕생이공원
31140-00044,정다운공원
31140-00045,비둘기공원
31140-00046,햇살공원
31140-00047,목화공원
31140-00048,자두공원
31140-00049,동그라미공원
31140-00050,초록빛공원
31140-00051,늘푸른공원
31140-00052,아름공원
31140-00053,새롬공원
31140-00054,한마음공원
31140-00055,풀빛공원
31140-00056,이슬공원
31140-00057,포그니공원
31140-00058,한빛공원
31140-00059,삼산공원
31140-00060,갈밭공원
31140-00061,수암공원
31140-00062,동백공원
31140-00063,격동공원
31140-00064,새싹공원
31140-00065,삼신공원
31140-00066,굴화공원
31140-00067,누리에공원
31140-00068,다정공원
31140-00069,다감공원
31140-00070,오산공원
31140-00071,감나무공원
31140-00072,편백공원
31140-00073,해죽공원
31140-00074,벽파공원
31140-00075,만남공원
31140-00076,이수공원
31140-00077,구슬공원
31140-00078,옥산공원
31140-00079,샘골공원
31140-00080,약수공원
31140-00081,굴화강변공원
31140-00082,신정공원
31140-00083,삼호공원
31140-00084,처용문화공원
31140-00085,옥현공원
31140-00086,용연공원
31140-00087,나눔공원
31140-00088,푸른공원
31140-00089,중앙공원
31140-00090,세죽공원
31140-00091,황성공원
31140-00092,옥신공원
31140-00093,황암공원
31140-00094,동산공원
31140-00095,상아공원
31140-00096,옥동공원
31140-00097,울산체육공원
31140-00098,문화공원
31140-00099,옥현공원
31140-00100,여천1호공원
31140-00101,대현공원
31140-00102,배남공원
31140-00103,용연제2공원
31140-00104,울산대공원
41590-00153,도와지뜰 어린이공원
41590-00134,매화 쌈지공원
41590-00042,두산2호 어린이공원(반달)
41590-00001,센트럴파크(5호)
41590-00111,남양2-2호 근린공원
41590-00032,청계중앙공원(8호)
41590-00067,현대3호어린이공원(꿈나라)
41590-00188,제1호 어린이공원(견우직녀달공원)
41590-00003,독재울공원(1호)
41590-00165,조암3호 어린이공원
41590-00157,미소 어린이공원
41590-00154,도이 어린이공원(6호)
41590-00151,교통 어린이공원(8호)
41590-00122,전곡1호 어린이공원
41590-00119,남양3호 어린이공원
41590-00094,야생초 어린이공원
41590-00092,솔향기공원(5호)
41590-00117,남양1호어린이공원
41590-00090,산새들공원(4호)
41590-00088,봉담아이파크 어린이공원
41590-00087,봉담수영 어린이공원
41590-00091,솔빛 어린이공원
41590-00170,발안유적공원
41590-00176,양감쌈지공원
41590-00175,주곡문화공원
41590-00174,장안금의산단소공원
41590-00172,알음공원
41590-00171,수촌소공원
41590-00138,제부도 쌈지공원
41590-00137,양노리 가로공원
41590-00136,송산 쌈지공원
41590-00132,남양 비석공원
41590-00131,구포리 소공원
41590-00130,전곡공원 5
41590-00128,우림아파트 소공원
41590-00127,전곡공원 2
41590-00107,협성대앞 쌈지공원
41590-00106,품못골저수지 쉼터
41590-00104,광도 쌈지공원
41590-00103,해오름공원
41590-00102,와우리 소공원
41590-00075,진안 쌈지공원
41590-00074,안녕동 쌈지공원
41590-00073,병점소공원
41590-00072,벌말 체육공원
41590-00071,동문아파트 소공원
41590-00033,도담공원(소6호)
41590-00014,능동 쌈지
41590-00187,제6호 근린공원(손개공원)
41590-00186,제5호 근린공원(한우리공원)
41590-00185,제4호 근린공원(신정공원)
41590-00184,제3호 근린공원(오음공원)
41590-00183,제2호 근린공원(방축공원)
41590-00182,제1호 근린공원(해찬벌공원)
41590-00150,향남4호 근린공원(죽전)
41590-00148,향남2호근린공원(평원)
41590-00147,향남1호근린공원(용현)
41590-00145,조암1호 근린공원
41590-00144,장안근린공원 2호
41590-00143,장안근린공원 1호
41590-00142,장안 1호근린공원
41590-00140,쌍봉산 근린공원
41590-00139,구문천 근린공원
41590-00116,전곡공원 4
41590-00114,송산3.1기념공원
41590-00113,마도 근린공원
41590-00110,남양2-1호 근린공원
41590-00078,봉담호수공원
41590-00077,동화마을 생태공원
41590-00037,병점 근린공원
41590-00086,봉담상리 어린이공원
41590-00085,봉담1호 어린이공원
41590-00084,별향 어린이공원
41590-00083,미로 어린이공원
41590-00082,물소리 어린이공원
41590-00081,달그림자 어린이공원
41590-00079,광도아파트 어린이공원
41590-00070,회화 어린이공원
41590-00068,현대4호 어린이공원(자연)
41590-00036,반월 중앙공원
41590-00035,다람산공원
41590-00034,구봉산 근린공원
41590-00026,탄요유적공원(9호)
41590-00025,육탄10용사기념공원(8호)
41590-00024,송방공원(산단5호)
41590-00022,솔빛공원(7호)
41590-00021,소라공원(산단3호)
41590-00019,동지공원(산단6호)
41590-00018,노작공원(6호)
41590-00016,석우리천 공원(6호)
41590-00010,하늘빛공원(3호)
41590-00009,큰재봉공원(10호)
41590-00007,손바닥공원(12호)
41590-00006,동학산공원(11호)
41590-00066,현대2호 어린이공원(사랑)
41590-00065,현대1호 어린이공원 (햇빛)
41590-00064,행림 어린이공원
41590-00063,해당화 어린이공원
41590-00062,푸르지오 어린이공원
41590-00060,틀뫼1호 어린이공원(노을)
41590-00059,철쭉 어린이공원
41590-00057,정든 어린이공원
41590-00055,은행 어린이공원
41590-00054,울트라2호 어린이공원(크로바)
41590-00053,울트라1호 어린이공원(참누리)
41590-00051,숨바꼭질 어린이공원
41590-00050,솔뫼 어린이공원
41590-00048,색종이 어린이공원
41590-00047,살구꽃 어린이공원
41590-00046,산수유 어린이공원
41590-00045,물빛 어린이공원
41590-00044,목련 어린이공원
41590-00043,매화 어린이공원
41590-00041,두산1호 어린이공원(반달)
41590-00040,느티 어린이공원
41590-00039,느치미 어린이공원
41590-00030,동탄4호 어린이공원
41590-00013,동탄6호 어린이공원
41590-00012,동탄2호 어린이공원
41590-00169,도원체육공원
41590-00126,전곡공원 3
41590-00178,귀래생태공원
41590-00108,보통리저수지
41590-00135,비봉 쌈지공원
41590-00093,수국 어린이공원
41590-00004,돌모루근린공원(14호)
41590-00056,장미 어린이공원
41590-00199,한울3호 어린이공원
41590-00198,제11호 어린이공원(해솟음달공원)
41590-00197,제10호 어린이공원(미틈달공원)
41590-00196,제9호 어린이공원(하늘연달공원)
41590-00193,제6호 어린이공원(물오름달공원)
41590-00191,제4호 어린이공원(푸른달공원)
41590-00190,제3호 어린이공원(타오름달공원)
